Proposal Number,Project number,Account Name,Opportunity Name,Confidence,Stage,Probability (%),Close Date,Carnet Assignment,Date of Carnet Assignment,Durée du Projet (Nb. de semaines),Nb. Hrs. Atelier (Sans Contingence),Nb. Hrs. Élec. (Sans Contingence,Nb. Hrs. Gestion,Nb. Hrs. Logiciel (Sans Contingence),Nb. Hrs. Mec. (Sans Contingence),Nb. Hrs. Procédé (Sans Contingence),Nb. Hrs. RC (Sans Contingence),Nb. Hrs. Robot (Sans Contingence),Main Process Type,Secondary Process Type,Third Process Type,SharePoint
5874,,Lisi (Rzeszow),Option Tri-blend,75% Choosen,Go/No-Go,10,29/11/2019,,,,,,,,,,,,Tri-Blend,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05874&v=search"" target=""_blank"">SharePoint Reference</a>"
5873,,Lisi (Bologne),Option Tri-blend,75% Choosen,Go/No-Go,10,29/11/2019,,,,,,,,,,,,Tri-Blend,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05873&v=search"" target=""_blank"">SharePoint Reference</a>"
5762,,Avio (Bielsko),LEAP LPT multivane deburring,30% Preliminary analysis,Go/No-Go,10,20/12/2019,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05762&v=search"" target=""_blank"">SharePoint Reference</a>"
5820,,Pratt & Whitney (Rzeszow),Une (1) cellule de polissage adaptatif,10% Project identified,Go/No-Go,10,31/01/2020,,,,,,,,,,,,Adaptive Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05820&v=search"" target=""_blank"">SharePoint Reference</a>"
5525,,Safran Aero Boosters (Herstal),Quatre (4) cellules de profilage LPC Leap avec option dév triblend,75% Choosen,R.O.M. Submitted,25,31/01/2020,,,,,,,,,,,,Profiling,Tri Blend,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05525&v=search"" target=""_blank"">SharePoint Reference</a>"
5818,,CPP Europe (Rzeszów),Une (1) cellule de pin blending,10% Project identified,Go/No-Go,10,28/02/2020,,,,,,,,,,,,Pin Blending,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05818&v=search"" target=""_blank"">SharePoint Reference</a>"
5501,,Lisi (Parthenay),Une (1) cellule d-ébavurage et triblend VSV,30% Preliminary analysis,Go/No-Go,10,20/03/2020,,,,,,,,,,,,Deburring,Tri Blend,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05501&v=search"" target=""_blank"">SharePoint Reference</a>"
,R-1999,Safran Aircraft Engines (Gennevilliers),Polissage Distributeur HP,50% Leading,R.O.M. Submitted,25,27/03/2020,,,,,,,,,,,,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1999&v=search"" target=""_blank"">SharePoint Reference</a>"
5496,,Safran Aircraft Engines (Châtellerault),Une (1) cellule de polissage soudure sur secteur DHP,10% Project identified,Go/No-Go,10,27/03/2020,,,,,,,,,,,,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05496&v=search"" target=""_blank"">SharePoint Reference</a>"
5817,,AFI - KLM E&M,Une (1) cellule de re-profiling de fan blade,10% Project identified,Go/No-Go,10,27/03/2020,,,,,,,,,,,,RE-Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05817&v=search"" target=""_blank"">SharePoint Reference</a>"
,R-1864,Safran Aircraft Engines (Gennevilliers),One (1) Fan blade BA Profiling System - R2,60% Short listed,Budgetary Submitted,40,27/03/2020,,,,472,148,320,224,653,471,0,321,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1864&v=search"" target=""_blank"">SharePoint Reference</a>"
5072,,Safran Helicopter Engines (Bordes),Une (1) Cellule Polissage aubes HVOF + Cuivre - R2,50% Leading,Budgetary Submitted,40,27/03/2020,,,,200,,,,,,,,Controlled Polishing,Deburring,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05072&v=search"" target=""_blank"">SharePoint Reference</a>"
5797,,Arconic (Dives),Une (1) cellule de polissage de défauts LPT Leap,30% Preliminary analysis,Go/No-Go,10,15/06/2020,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05797&v=search"" target=""_blank"">SharePoint Reference</a>"
5821,,Pietro Rosa T.B.M,Une (1) cellule de polissage adaptatif VSV,10% Project identified,Go/No-Go,10,26/06/2020,,,,,,,,,,,,Adaptive Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05821&v=search"" target=""_blank"">SharePoint Reference</a>"
5754,,ITP,Une (1) cellule d-ébavurage de LPT multivane,30% Preliminary analysis,Go/No-Go,10,25/09/2020,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05754&v=search"" target=""_blank"">SharePoint Reference</a>"
4770,,BTL (Blades Technology Ltd),LER-TER Profile Acquisition Functionalities Retrofit Kit R2,100% Closed Won,Closed Won,100,9/1/2017,90% Verbal Agreement ou R.O.I. validé par DODE,23/01/2017,21,,155,96,63,175,315,0,94,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04770&v=search"" target=""_blank"">SharePoint Reference</a>"
4991,4710DC03,GEA Bromont,Amendement - UltraPolish cell,100% Closed Won,Closed Won,100,22/03/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04991&v=search"" target=""_blank"">SharePoint Reference</a>"
4990,4710DC02,GEA Bromont,Amendement - UltraPolish cell,100% Closed Won,Closed Won,100,22/03/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04990&v=search"" target=""_blank"">SharePoint Reference</a>"
5006,L678-DC9,GEA CAR,Amendement - Tip Blending (ATI Singapore),100% Closed Won,Closed Won,100,5/4/2017,,,,,,,,,,,,Weld & A.M. Blending,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05006&v=search"" target=""_blank"">SharePoint Reference</a>"
5032,4314DC05,Héroux-Devtek (Strongsville),Amendement - Cellule de peinture de train d-atterissage,100% Closed Won,Closed Won,100,27/04/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05032&v=search"" target=""_blank"">SharePoint Reference</a>"
5033,4314DC08,Héroux-Devtek (Strongsville),Amendement - Cellule de peinture de train d-atterissage,100% Closed Won,Closed Won,100,27/04/2017,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05033&v=search"" target=""_blank"">SharePoint Reference</a>"
5056,F-04811,GEA Piedmont,Amandement - DC-01 - Two (2) Robotic Deburring Cells R1,100% Closed Won,Closed Won,100,19/05/2017,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05056&v=search"" target=""_blank"">SharePoint Reference</a>"
5055,F-04346,Reliable Automatic Sprinkler,Amendement - DC-03 & DC-04 - Kebab Assembly Machine (Repeat),100% Closed Won,Closed Won,100,23/05/2017,,,,,,,,,,,,Assembly,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05055&v=search"" target=""_blank"">SharePoint Reference</a>"
5106,DC-02,GEE Greenville  (NM),Amendement - Life-Sight Sensor Industrial Print System R2,100% Closed Won,Closed Won,100,28/06/2017,,,,,,,,,,,,Dispensing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05106&v=search"" target=""_blank"">SharePoint Reference</a>"
5211,L668DC05,GEE Greenville  (NM),System Dual Airfoil Nozzle Polishing,100% Closed Won,Closed Won,100,20/09/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05211&v=search"" target=""_blank"">SharePoint Reference</a>"
5218,4876DC05,GEE Greenville (MRO),Amendement - One (1) Nozzle Polishing System MRO (L645),100% Closed Won,Closed Won,100,21/09/2017,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05218&v=search"" target=""_blank"">SharePoint Reference</a>"
5217,4876DC01,GEE Greenville (MRO),Amendement - One (1) Nozzle Polishing System MRO (L645),100% Closed Won,Closed Won,100,21/09/2017,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05217&v=search"" target=""_blank"">SharePoint Reference</a>"
5223,DC-03,GEE Greenville  (NM),Amendement - Life-Sight Sensor Industrial Print System R2,100% Closed Won,Closed Won,100,28/09/2017,,,,,,,,,,,,Dispensing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05223&v=search"" target=""_blank"">SharePoint Reference</a>"
5245,R1799DC1,Rolls-Royce Derby,Amendement - Samulet 3 Cell - AMRC,100% Closed Won,Closed Won,100,17/10/2017,100% Approbation du C.E.,17/10/2017,,,,,,,,,,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05245&v=search"" target=""_blank"">SharePoint Reference</a>"
5262,4430 DC2,Pratt & Whitney Canada Halifax,Amendement - One (1) New ?+1 Grinder? ELB Automation System R5,100% Closed Won,Closed Won,100,27/10/2017,90% Verbal Agreement ou R.O.I. validé par DODE,17/07/2017,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05262&v=search"" target=""_blank"">SharePoint Reference</a>"
5302,4710DC04,GEA Bromont,Amendement - UltraPolish cell,100% Closed Won,Closed Won,100,20/11/2017,,,,,,,,,,,,Ultra-Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05302&v=search"" target=""_blank"">SharePoint Reference</a>"
5310,4876DC06,GEE Greenville (MRO),Amendement - One (1) Nozzle Polishing System MRO (L645),100% Closed Won,Closed Won,100,4/12/2017,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05310&v=search"" target=""_blank"">SharePoint Reference</a>"
5419,DC-02,GKN Aerospace (Orangeburg),Amendement - Dismantling and Installation Prototype Cell at Orangeburg,100% Closed Won,Closed Won,100,15/12/2017,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05419&v=search"" target=""_blank"">SharePoint Reference</a>"
5418,DC-03,Propulsion Technologies International,Amendement - One (1) Robotic Fan Blade LE Repair System R9,100% Closed Won,Closed Won,100,21/02/2018,,,,,,,,,,,,RE-Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05418&v=search"" target=""_blank"">SharePoint Reference</a>"
5448,DC-01,CHROMALLOY,DC01 - One (1) Compressor Blade Profiling System R4,100% Closed Won,Closed Won,100,5/4/2018,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05448&v=search"" target=""_blank"">SharePoint Reference</a>"
5559,DC-02,TECT Power (Utica),Amendement - Two (2) Robotic Fan Blade Leading Edge Polishing Systems R3,100% Closed Won,Closed Won,100,27/06/2018,90% Verbal Agreement ou R.O.I. validé par DODE,9/4/2018,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05559&v=search"" target=""_blank"">SharePoint Reference</a>"
5652,DC-10,GKN Aerospace (Orangeburg),Amendement - Dismantling and Installation Prototype Cell at Orangeburg,100% Closed Won,Closed Won,100,19/09/2018,,,,,,,,,,,,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05652&v=search"" target=""_blank"">SharePoint Reference</a>"
5655,DC-07,Propulsion Technologies International,Amendement - One (1) Robotic Fan Blade LE Repair System R9,100% Closed Won,Closed Won,100,27/09/2018,,,,,,,,,,,,RE-Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05655&v=search"" target=""_blank"">SharePoint Reference</a>"
5735,DC-02,GEA Bromont,Four (4) Booster Blade CNC Loading cells,100% Closed Won,Closed Won,100,21/11/2018,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05735&v=search"" target=""_blank"">SharePoint Reference</a>"
5804,4743DC02,Rolls-Royce Derby,4743 DC02,100% Closed Won,Closed Won,100,18/01/2019,,,,,,,,,,,,Thin Trailing Edge Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05804&v=search"" target=""_blank"">SharePoint Reference</a>"
5805,4743DC01,Rolls-Royce Derby,4743 DC01,100% Closed Won,Closed Won,100,18/01/2019,,,,,,,,,,,,Thin Trailing Edge Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05805&v=search"" target=""_blank"">SharePoint Reference</a>"
5856,,Propulsion Technologies International,5603 DC01,100% Closed Won,Closed Won,100,20/02/2019,,,,,,,,,,,,RE-Profiling,Cosmetic Polishing,Profiling,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05856&v=search"" target=""_blank"">SharePoint Reference</a>"
,R-1798,Rolls-Royce Derby,Étude - Samulet 3 Study P.O. #2,100% Closed Won,Closed Won,100,9/2/2017,90% Verbal Agreement ou R.O.I. validé par DODE,20/02/2017,,,,,,,,,,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1798&v=search"" target=""_blank"">SharePoint Reference</a>"
4894,,Rolls-Royce Derby,Amendement - Samulet 3 ? Additional scope for contrast evaluation,100% Closed Won,Closed Won,100,9/3/2017,90% Verbal Agreement ou R.O.I. validé par DODE,10/4/2017,,,0,40,330,0,0,0,0,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04894&v=search"" target=""_blank"">SharePoint Reference</a>"
4879,R-1798,Rolls-Royce Derby,Étude - Samulet 3 Study P.O. #3 (2017),100% Closed Won,Closed Won,100,12/6/2017,90% Verbal Agreement ou R.O.I. validé par DODE,3/7/2017,,,36,735,3752,101,2153,0,13,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04879&v=search"" target=""_blank"">SharePoint Reference</a>"
5189,,Rolls-Royce Derby,Inspection and Dressing in confined areas feasibility study,100% Closed Won,Closed Won,100,30/09/2017,75% Negotiate/Review ou Projet soumis au calcul de R.O.I.,16/10/2017,6,,,41,,,338,,,AVI - Disk/IBR,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05189&v=search"" target=""_blank"">SharePoint Reference</a>"
4819,,Rolls-Royce Derby,Transfert du banc de tests vers RR Mtl. R3,100% Closed Won,Closed Won,100,12/10/2017,90% Verbal Agreement ou R.O.I. validé par DODE,11/9/2017,20,,105,159,0,181,40,0,316,AVI - Disk/IBR,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04819&v=search"" target=""_blank"">SharePoint Reference</a>"
5172,R-1798,Rolls-Royce Derby,Étude - Samulet 3 Study P.O. #4 (2018 Q1),100% Closed Won,Closed Won,100,15/12/2017,90% Verbal Agreement ou R.O.I. validé par DODE,2/1/2018,,0,0,639,1434,466,3423,0,0,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05172&v=search"" target=""_blank"">SharePoint Reference</a>"
4587,,Rolls-Royce Montreal,Automated Visual Inspection sentencing & dressing,100% Closed Won,Closed Won,100,30/03/2018,90% Verbal Agreement ou R.O.I. validé par DODE,16/02/2018,,,1060,3684,963,2171,25932,,1024,AVI - Disk/IBR,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04587&v=search"" target=""_blank"">SharePoint Reference</a>"
5330,,Rolls-Royce Derby,Étude - Samulet 3 Study P.O. #4 (2018 Q2),100% Closed Won,Closed Won,100,17/04/2018,90% Verbal Agreement ou R.O.I. validé par DODE,2/1/2018,,0,0,,,,,0,0,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05330&v=search"" target=""_blank"">SharePoint Reference</a>"
5399,,Rolls-Royce Derby,Étude - Samulet 3 Study P.O. #4 (2018 Q3),100% Closed Won,Closed Won,100,25/05/2018,90% Verbal Agreement ou R.O.I. validé par DODE,2/1/2018,,0,0,,,,,0,0,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05399&v=search"" target=""_blank"">SharePoint Reference</a>"
5462,,AV&R (Démos Client),Tests PCC inspection,100% Closed Won,Closed Won,100,12/6/2018,90% Verbal Agreement ou R.O.I. validé par DODE,21/05/2018,2,2,0,11,0,33,50,0,0,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05462&v=search"" target=""_blank"">SharePoint Reference</a>"
5636,,AV&R (Démos Client),Demo Client PW US,90%  Verbal or written agreement,Closed Won,100,20/09/2018,,,,,,,,,,,,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05636&v=search"" target=""_blank"">SharePoint Reference</a>"
5603,,Propulsion Technologies International,Ajout Mesure de corde cellule PTI R3,100% Closed Won,Closed Won,100,27/11/2018,90% Verbal Agreement ou R.O.I. validé par DODE,26/11/2018,18,192,48,135,16,176,100,266,212,RE-Profiling,Cosmetic Polishing,Profiling,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05603&v=search"" target=""_blank"">SharePoint Reference</a>"
5446,,Propulsion Technologies International,One (1) Robotic Fan Blade LE Repairing System R4,100% Closed Won,Closed Won,100,2/1/2019,90% Verbal Agreement ou R.O.I. validé par DODE,14/01/2019,34,779,190,275,0,439,450,265,322,RE-Profiling,Cosmetic Polishing,Profiling,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05446&v=search"" target=""_blank"">SharePoint Reference</a>"
5510,,Rolls-Royce Derby,Étude - Samulet 3 Study P.O. #5 (2018 Q3),100% Closed Won,Closed Won,100,5/3/2019,75% Negotiate/Review ou Projet soumis au calcul de R.O.I.,9/4/2018,,0,0,,,,,0,0,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05510&v=search"" target=""_blank"">SharePoint Reference</a>"
5635,,Rolls-Royce Derby,Samulet 3 2019 - R2,90%  Verbal or written agreement,Verbal Agreement,90,12/4/2019,90% Verbal Agreement ou R.O.I. validé par DODE,18/03/2019,,0,0,253,796,0,1044,0,0,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05635&v=search"" target=""_blank"">SharePoint Reference</a>"
5464,,Propulsion Technologies International,Partenariat Développement Réparation,60% Short listed,R.O.M. Submitted,25,30/04/2019,,,,,,,,,,,,Weld & A.M. Blending,Weld & A.M. Blending,Adaptive Polishing,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05464&v=search"" target=""_blank"">SharePoint Reference</a>"
5584,,Pratt & Whitney East Hartford,Projet développement inspection PW Hartford (phases 1 à 3),30% Preliminary analysis,Proposal Submitted,60,28/06/2019,,,,,,158,120,40,1012,,,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05584&v=search"" target=""_blank"">SharePoint Reference</a>"
